2024-03-28 16:40:51,24.42,72.87,1020.08
2024-03-28 16:41:01,24.37,72.87,1020.1
2024-03-28 16:41:11,24.36,72.87,1020.09
2024-03-28 16:41:21,24.36,72.87,1020.07
2024-03-28 16:41:31,24.31,72.86,1020.06
2024-03-28 16:41:41,24.29,72.86,1020.08
2024-03-28 16:41:51,24.23,72.86,1020.09
2024-03-28 16:42:01,24.28,72.86,1020.07
2024-03-28 16:42:11,24.31,72.86,1020.07
2024-03-28 16:42:21,24.35,72.87,1020.06
2024-03-28 16:42:31,24.35,72.87,1020.08
2024-03-28 16:42:41,24.27,72.86,1020.06
2024-03-28 16:42:51,24.19,72.85,1020.05
2024-03-28 16:43:02,24.16,72.85,1020.06
2024-03-28 16:43:12,24.17,72.85,1020.05
2024-03-28 16:43:22,24.18,72.85,1020.07
2024-03-28 16:43:32,24.14,72.85,1020.05
2024-03-28 16:43:42,24.14,72.85,1020.06
2024-03-28 16:43:52,24.14,72.85,1020.05
2024-03-28 16:44:02,24.08,72.85,1020.06
2024-03-28 16:44:12,24.02,72.84,1020.05
2024-03-28 16:44:22,24.04,72.84,1020.02
2024-03-28 16:44:32,24.08,72.84,1020.04
2024-03-28 16:44:42,24.06,72.85,1020.03
2024-03-28 16:44:52,24.06,72.84,1020.02
2024-03-28 16:45:02,24.11,72.85,1020.05
2024-03-28 16:45:12,24.21,72.85,1020.05
2024-03-28 16:45:22,24.25,72.86,1020.05
2024-03-28 16:45:32,24.25,72.86,1020.07
2024-03-28 16:45:42,24.31,72.86,1020.07
2024-03-28 16:45:52,24.26,72.86,1020.08
2024-03-28 16:46:02,24.17,72.85,1020.06
